Features, Accuracy
[ 1 10 18 20 21 22 29 32 33 39 41 45 46],71.4
[ 1 10 18 20 21 22 29 33 34 39 41 45 46],73.9
[ 1 10 18 20 21 22 29 33 35 39 41 45 46],72.7
[ 1 10 18 20 21 22 29 33 36 39 41 45 46],72.1
[ 1 10 18 20 21 22 29 33 37 39 41 45 46],74.0
[ 1 10 18 20 21 22 29 33 38 39 41 45 46],73.5
[ 1 10 18 20 21 22 29 33 39 40 41 45 46],72.2
[ 1 10 18 20 21 22 29 33 39 41 42 45 46],73.4
[ 1 10 18 20 21 22 29 33 39 41 43 45 46],72.8
[ 1 10 18 20 21 22 29 33 39 41 44 45 46],74.2
[ 1 10 18 20 21 22 29 33 39 41 45 46 47],73.2
[ 1 10 18 20 21 22 29 33 39 41 45 46 48],72.7
[ 1 10 18 20 21 22 29 33 39 41 45 46 49],72.5
[ 1 10 18 20 21 22 29 33 39 41 45 46 50],73.1
[ 1  2 10 14 18 20 21 22 29 33 39 41 45 46],74.7
[ 1  3 10 14 18 20 21 22 29 33 39 41 45 46],73.0
[ 1  4 10 14 18 20 21 22 29 33 39 41 45 46],73.4
[ 1  5 10 14 18 20 21 22 29 33 39 41 45 46],75.3
[ 1  6 10 14 18 20 21 22 29 33 39 41 45 46],73.4
[ 1  7 10 14 18 20 21 22 29 33 39 41 45 46],73.6
[ 1  8 10 14 18 20 21 22 29 33 39 41 45 46],73.4
[ 1  9 10 14 18 20 21 22 29 33 39 41 45 46],73.4
[ 1 10 11 14 18 20 21 22 29 33 39 41 45 46],75.4
[ 1 10 12 14 18 20 21 22 29 33 39 41 45 46],72.3
[ 1 10 13 14 18 20 21 22 29 33 39 41 45 46],73.9
[ 1 10 14 15 18 20 21 22 29 33 39 41 45 46],71.9
[ 1 10 14 16 18 20 21 22 29 33 39 41 45 46],75.1
[ 1 10 14 17 18 20 21 22 29 33 39 41 45 46],74.7
[ 1 10 14 18 19 20 21 22 29 33 39 41 45 46],73.7
[ 1 10 14 18 20 21 22 23 29 33 39 41 45 46],74.9
[ 1 10 14 18 20 21 22 24 29 33 39 41 45 46],74.0
[ 1 10 14 18 20 21 22 25 29 33 39 41 45 46],74.5
[ 1 10 14 18 20 21 22 26 29 33 39 41 45 46],74.0
[ 1 10 14 18 20 21 22 27 29 33 39 41 45 46],74.9
[ 1 10 14 18 20 21 22 28 29 33 39 41 45 46],72.6
[ 1 10 14 18 20 21 22 29 30 33 39 41 45 46],73.1
[ 1 10 14 18 20 21 22 29 31 33 39 41 45 46],74.7
[ 1 10 14 18 20 21 22 29 32 33 39 41 45 46],73.2
[ 1 10 14 18 20 21 22 29 33 34 39 41 45 46],72.6
[ 1 10 14 18 20 21 22 29 33 35 39 41 45 46],75.1
[ 1 10 14 18 20 21 22 29 33 36 39 41 45 46],72.2
[ 1 10 14 18 20 21 22 29 33 37 39 41 45 46],72.1
[ 1 10 14 18 20 21 22 29 33 38 39 41 45 46],74.2
[ 1 10 14 18 20 21 22 29 33 39 40 41 45 46],73.3
[ 1 10 14 18 20 21 22 29 33 39 41 42 45 46],75.0
[ 1 10 14 18 20 21 22 29 33 39 41 43 45 46],74.0
[ 1 10 14 18 20 21 22 29 33 39 41 44 45 46],75.7
[ 1 10 14 18 20 21 22 29 33 39 41 45 46 47],75.6
[ 1 10 14 18 20 21 22 29 33 39 41 45 46 48],71.7
[ 1 10 14 18 20 21 22 29 33 39 41 45 46 49],74.7
[ 1 10 14 18 20 21 22 29 33 39 41 45 46 50],74.3
[ 1  2 10 14 18 20 21 22 29 33 39 41 44 45 46],74.0
[ 1  3 10 14 18 20 21 22 29 33 39 41 44 45 46],72.3
[ 1  4 10 14 18 20 21 22 29 33 39 41 44 45 46],74.4
[ 1  5 10 14 18 20 21 22 29 33 39 41 44 45 46],74.4
